osm_id,code,fclass,name,type,area
"14261499","1500",building,Laboratorio Innovazione Breda,office,"810"
"22736136","1500",building,,,"1129"
"22736137","1500",building,,,"762"
"22736138","1500",building,,,"1172"
"22736139","1500",building,,,"1064"
"23154089","1500",building,U14 – DISCo – Dipartimento di Informatica Sistemistica e Comunicazione,university,"1375"
"25332896","1500",building,,retail,"3065"
"25332965","1500",building,,industrial,"9096"
"25332966","1500",building,,industrial,"8126"
"25333121","1500",building,"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton",,"2793"
"25894577","1500",building,,,"3154"
"25941770","1500",building,,public,"1706"
"26273153","1500",building,PalaSesto,stadium,"3630"
"26433713","1500",building,,retail,"2851"
"27654509","1500",building,,train_station,"2113"
"27655307","1500",building,Sesto 1º Maggio FS M1,no,"5082"
"31029911","1500",building,,industrial,"13134"
"38558925","1500",building,Chiesa di San Giovanni Bosco,church,"676"
"41956450","1500",building,,,"158"
"41963283","1500",building,,,"2806"
"41963284","1500",building,,,"675"
"41963285","1500",building,,,"420"
"41963286","1500",building,,,"1324"
"41963287","1500",building,,apartments,"992"
"41963288","1500",building,,apartments,"430"
"59243220","1500",building,,industrial,"16653"
"74171820","1500",building,,apartments,"737"
"74171822","1500",building,,,"307"
"74171824","1500",building,,apartments,"824"
"74171825","1500",building,,apartments,"422"
"76095500","1500",building,,apartments,"184"
"76095504","1500",building,,apartments,"282"
"76095506","1500",building,,apartments,"720"
"76095508","1500",building,,apartments,"521"
"76095509","1500",building,,,"285"
"76095510","1500",building,,,"578"
"76095511","1500",building,,,"149"
"76095512","1500",building,,apartments,"562"
"76095513","1500",building,,,"178"
"76123863","1500",building,,,"144"
"76123864","1500",building,,,"131"
"76123867","1500",building,,,"154"
"76123869","1500",building,,,"70"
"76123870","1500",building,,,"78"
"76123873","1500",building,,,"259"
"76123874","1500",building,,,"186"
"76123879","1500",building,,apartments,"670"
"76123885","1500",building,,,"92"
"76123887","1500",building,,,"356"
"76123889","1500",building,,,"230"
"76123893","1500",building,,,"197"
"76123897","1500",building,,,"166"
"76123900","1500",building,,,"133"
"76123902","1500",building,,garages,"293"
"76131018","1500",building,,school,"1428"
"76131019","1500",building,,,"1194"
"76953925","1500",building,,kiosk,"42"
"77385830","1500",building,,school,"14285"
"77753684","1500",building,,apartments,"607"
"77753686","1500",building,,apartments,"580"
"77753687","1500",building,,apartments,"627"
"77753689","1500",building,,apartments,"474"
"77753690","1500",building,,apartments,"409"
"77753691","1500",building,,apartments,"474"
"77753692","1500",building,,apartments,"583"
"77753693","1500",building,,apartments,"774"
"77753696","1500",building,,apartments,"632"
"77753698","1500",building,,apartments,"386"
"77753699","1500",building,,apartments,"409"
"77765740","1500",building,,,"644"
"77765741","1500",building,,apartments,"345"
"77765742","1500",building,,apartments,"528"
"77765745","1500",building,,apartments,"513"
"77765746","1500",building,,apartments,"562"
"77765747","1500",building,,apartments,"348"
"77767795","1500",building,,service,"488"
"77917810","1500",building,,office,"1151"
"77917811","1500",building,,apartments,"211"
"77917814","1500",building,,apartments,"694"
"77917816","1500",building,,residential,"366"
"77917817","1500",building,,residential,"366"
"78067076","1500",building,,,"400"
"78067077","1500",building,,,"146"
"78067078","1500",building,,,"173"
"78067079","1500",building,,apartments,"508"
"78067080","1500",building,,,"213"
"78473944","1500",building,,,"1036"
"78473945","1500",building,,apartments,"822"
"78473947","1500",building,,apartments,"464"
"78473948","1500",building,,apartments,"465"
"78473949","1500",building,,apartments,"230"
"78473950","1500",building,,apartments,"822"
"78473951","1500",building,,apartments,"230"
"80458278","1500",building,,apartments,"316"
"80458279","1500",building,,apartments,"483"
"80458280","1500",building,,apartments,"358"
"80458281","1500",building,,apartments,"316"
"80458282","1500",building,,apartments,"566"
"80458284","1500",building,,apartments,"328"
"80458286","1500",building,,apartments,"319"
"80458287","1500",building,,apartments,"290"
"80458290","1500",building,,apartments,"357"
"80458291","1500",building,,apartments,"650"
"80458292","1500",building,,apartments,"399"
"80458294","1500",building,,apartments,"1811"
"81647440","1500",building,Fornace Mariani,,"715"
"81648354","1500",building,,apartments,"418"
